UMLS:C0033774_itching,UMLS:C0015230_skin_rash,UMLS:C0015230_skin_eruption,UMLS:C0037383_continuous_sneezing,UMLS:C0036973_shivering,UMLS:C0085593_chills,UMLS:C0003862_joint_pain,UMLS:C0221512_stomach_pain,UMLS:C0018834_acidity,UMLS:C0038363_ulcers_on_tongue,UMLS:C0026846_muscle_wasting,UMLS:C0042963_vomiting,UMLS:C0423736_burning_micturition,UMLS:C0221752_blood_in_urine,UMLS:C0015672_fatigue,UMLS:C0043094_weight_gain,UMLS:C0003467_anxiety,UMLS:C0857073_cold_hands_and_feets,UMLS:C0085633_mood_swings,UMLS:C1262477_weight_loss,UMLS:C3887611_restlessness,UMLS:C0023380_lethargy,UMLS:C0700184_patches_in_throat,UMLS:C0877685_irregular_sugar_level,UMLS:C0010200_cough,UMLS:C0015967_high_fever,UMLS:C0423224_sunken_eyes,UMLS:C0013404_breathlessness,UMLS:C0038990_sweating,UMLS:C0011175_dehydration,UMLS:C0013395_indigestion,UMLS:C0018681_headache,UMLS:C0558148_yellowish_skin,UMLS:C0426396_dark_urine,UMLS:C0027497_nausea,UMLS:C1971624_loss_of_appetite,UMLS:C0743724_pain_behind_the_eyes,UMLS:C0004604_back_pain,UMLS:C0009806_constipation,UMLS:C0000737_abdominal_pain,UMLS:C0011991_diarrhoea,UMLS:C0015967_mild_fever,UMLS:C0858675_yellow_urine,UMLS:C1141938_yellowing_of_eyes,UMLS:C0162557_acute_liver_failure,UMLS:C0546817_fluid_overload,UMLS:C0000731_swelling_of_stomach,UMLS:C0858536_swelled_lymph_nodes,UMLS:C0231218_malaise,UMLS:C0344232_blurred_and_distorted_vision,UMLS:C0225378_phlegm,UMLS:C0700184_throat_irritation,UMLS:C0235267_redness_of_eyes,UMLS:C0848633_sinus_pressure,UMLS:C1260880_runny_nose,UMLS:C0700148_congestion,UMLS:C0008031_chest_pain,UMLS:C0587246_weakness_in_limbs,UMLS:C0039231_fast_heart_rate,UMLS:C5554099_pain_during_bowel_movements,UMLS:C0238637_pain_in_anal_region,UMLS:C1321898_bloody_stool,UMLS:C0033775_irritation_in_anus,UMLS:C0007859_neck_pain,UMLS:C0012833_dizziness,UMLS:C0026821_cramps,UMLS:C0009938_bruising,UMLS:C0028754_obesity,UMLS:C0235886_swollen_legs,UMLS:C0042384_swollen_blood_vessels,UMLS:C0151602_puffy_face_and_eyes,UMLS:C0018021_enlarged_thyroid,UMLS:C0546956_brittle_nails,UMLS:C0013604_swollen_extremities,UMLS:C0426584_excessive_hunger,UMLS:C0555026_extra_marital_contacts,UMLS:C0877487_tingling_lips,UMLS:C2703066_dry_lips,UMLS:C0234518_slurred_speech,UMLS:C0231749_knee_pain,UMLS:C4551516_hip_joint_pain,UMLS:C0231749_muscle_weakness,UMLS:C0151315_stiff_neck,UMLS:C0152031_swelling_joints,UMLS:C0221170_movement_stiffness,UMLS:C0562461_spinning_movements,UMLS:C0241981_loss_of_balance,UMLS:C0427108_unsteadiness,UMLS:C0018989_weakness_of_one_body_side,UMLS:C0003126_loss_of_smell,UMLS:C0549391_bladder_discomfort,UMLS:C0549447_foul_smell_of urine,UMLS:C0375553_continuous_feel_of_urine,UMLS:C0513181_passage_of_gases,UMLS:C0858941_internal_itching,UMLS:C0728899_toxic_look_(typhos),UMLS:C0011570_depression,UMLS:C0022107_irritability,UMLS:C0231528_muscle_pain,UMLS:C0423575_altered_sensorium,UMLS:C0848332_red_spots_over_body,UMLS:C0221512_belly_pain,UMLS:C0156404_abnormal_menstruation,UMLS:C3257803_watering_from_eyes,UMLS:C0232461_increased_appetite,UMLS:C0032617_polyuria,UMLS:C0577978_mucoid_sputum,UMLS:C0577982_rusty_sputum,UMLS:C0235198_lack_of_concentration,UMLS:C0547030_visual_disturbances,UMLS:C0005841_receiving_blood_transfusion,UMLS:C1881663_receiving_unsterile_injections,UMLS:C0009421_coma,UMLS:C0235325_stomach_bleeding,UMLS:C0740550_distention_of_abdomen,UMLS:C0552479_history_of_alcohol_consumption,UMLS:C0546817_fluid_overload,UMLS:C0555056_blood_in_sputum,UMLS:C0425666_prominent_veins_on_calf,UMLS:C0030252_palpitations,UMLS:C0311394_painful_walking,UMLS:C0542346_pus_filled_pimples,UMLS:C0333128_blackheads,UMLS:C0036474_scurving,UMLS:C0237849_skin_peeling,UMLS:C0263595_silver_like_dusting,UMLS:C0027342_small_dents_in_nails,UMLS:C0333362_inflammatory_nails,UMLS:C0005758_blister,UMLS:C0857495_red_sore_around_nose,UMLS:C0558148_yellow_skin,prognosis
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UMLS:C0026946_Fungal infection
